ImageName,Label
PathID:0_FigureID:335_IsCollision:0.jpg,0
PathID:11_FigureID:747_IsCollision:0.jpg,11
PathID:1_FigureID:738_IsCollision:0.jpg,1
PathID:14_FigureID:212_IsCollision:0.jpg,14
PathID:16_FigureID:230_IsCollision:0.jpg,16
PathID:27_FigureID:852_IsCollision:0.jpg,27
PathID:13_FigureID:853_IsCollision:0.jpg,13
PathID:0_FigureID:44_IsCollision:0.jpg,0
PathID:22_FigureID:378_IsCollision:0.jpg,22
PathID:17_FigureID:909_IsCollision:0.jpg,17
PathID:15_FigureID:634_IsCollision:0.jpg,15
PathID:27_FigureID:734_IsCollision:0.jpg,27
PathID:35_FigureID:712_IsCollision:0.jpg,35
PathID:30_FigureID:579_IsCollision:0.jpg,30
PathID:6_FigureID:402_IsCollision:0.jpg,6
PathID:8_FigureID:241_IsCollision:0.jpg,8
PathID:25_FigureID:693_IsCollision:0.jpg,25
PathID:7_FigureID:490_IsCollision:0.jpg,7
PathID:9_FigureID:539_IsCollision:0.jpg,9
PathID:3_FigureID:558_IsCollision:0.jpg,3
PathID:11_FigureID:587_IsCollision:0.jpg,11
PathID:38_FigureID:577_IsCollision:0.jpg,38
PathID:5_FigureID:341_IsCollision:0.jpg,5
PathID:23_FigureID:584_IsCollision:0.jpg,23
PathID:32_FigureID:387_IsCollision:0.jpg,32
PathID:28_FigureID:702_IsCollision:0.jpg,28
PathID:19_FigureID:700_IsCollision:0.jpg,19
PathID:5_FigureID:845_IsCollision:0.jpg,5
PathID:9_FigureID:689_IsCollision:0.jpg,9
PathID:18_FigureID:279_IsCollision:0.jpg,18
PathID:13_FigureID:407_IsCollision:0.jpg,13
PathID:0_FigureID:167_IsCollision:0.jpg,0
PathID:3_FigureID:437_IsCollision:0.jpg,3
PathID:27_FigureID:971_IsCollision:0.jpg,27
PathID:37_FigureID:465_IsCollision:0.jpg,37
PathID:10_FigureID:500_IsCollision:0.jpg,10
PathID:12_FigureID:601_IsCollision:0.jpg,12
PathID:9_FigureID:853_IsCollision:0.jpg,9
PathID:1_FigureID:927_IsCollision:0.jpg,1
PathID:5_FigureID:422_IsCollision:0.jpg,5
PathID:17_FigureID:54_IsCollision:0.jpg,17
PathID:30_FigureID:981_IsCollision:0.jpg,30
PathID:22_FigureID:665_IsCollision:0.jpg,22
PathID:8_FigureID:896_IsCollision:0.jpg,8
PathID:23_FigureID:790_IsCollision:0.jpg,23
PathID:25_FigureID:838_IsCollision:0.jpg,25
PathID:14_FigureID:48_IsCollision:0.jpg,14
PathID:10_FigureID:622_IsCollision:0.jpg,10
PathID:3_FigureID:460_IsCollision:0.jpg,3
PathID:34_FigureID:15_IsCollision:0.jpg,34
PathID:8_FigureID:795_IsCollision:0.jpg,8
PathID:2_FigureID:420_IsCollision:0.jpg,2
PathID:39_FigureID:497_IsCollision:0.jpg,39
PathID:12_FigureID:825_IsCollision:0.jpg,12
PathID:28_FigureID:899_IsCollision:0.jpg,28
PathID:24_FigureID:437_IsCollision:0.jpg,24
PathID:3_FigureID:410_IsCollision:0.jpg,3
PathID:21_FigureID:277_IsCollision:0.jpg,21
PathID:26_FigureID:60_IsCollision:0.jpg,26
PathID:23_FigureID:314_IsCollision:0.jpg,23
PathID:34_FigureID:361_IsCollision:0.jpg,34
PathID:7_FigureID:395_IsCollision:0.jpg,7
PathID:14_FigureID:908_IsCollision:0.jpg,14
PathID:11_FigureID:947_IsCollision:0.jpg,11
PathID:5_FigureID:937_IsCollision:0.jpg,5
PathID:26_FigureID:223_IsCollision:0.jpg,26
PathID:5_FigureID:773_IsCollision:0.jpg,5
PathID:31_FigureID:287_IsCollision:0.jpg,31
PathID:10_FigureID:973_IsCollision:0.jpg,10
PathID:13_FigureID:603_IsCollision:0.jpg,13
PathID:9_FigureID:428_IsCollision:0.jpg,9
PathID:23_FigureID:778_IsCollision:0.jpg,23
PathID:26_FigureID:554_IsCollision:0.jpg,26
PathID:16_FigureID:891_IsCollision:0.jpg,16
PathID:22_FigureID:625_IsCollision:0.jpg,22
PathID:17_FigureID:637_IsCollision:0.jpg,17
PathID:34_FigureID:708_IsCollision:0.jpg,34
PathID:10_FigureID:171_IsCollision:0.jpg,10
PathID:37_FigureID:148_IsCollision:0.jpg,37
PathID:28_FigureID:177_IsCollision:0.jpg,28
PathID:25_FigureID:29_IsCollision:0.jpg,25
PathID:35_FigureID:891_IsCollision:0.jpg,35
PathID:17_FigureID:476_IsCollision:0.jpg,17
PathID:9_FigureID:605_IsCollision:0.jpg,9
PathID:29_FigureID:496_IsCollision:0.jpg,29
PathID:3_FigureID:756_IsCollision:0.jpg,3
PathID:37_FigureID:326_IsCollision:0.jpg,37
PathID:26_FigureID:461_IsCollision:0.jpg,26
PathID:14_FigureID:361_IsCollision:0.jpg,14
PathID:14_FigureID:329_IsCollision:0.jpg,14
PathID:38_FigureID:292_IsCollision:0.jpg,38
PathID:24_FigureID:506_IsCollision:0.jpg,24
PathID:5_FigureID:994_IsCollision:0.jpg,5
PathID:13_FigureID:916_IsCollision:0.jpg,13
PathID:27_FigureID:719_IsCollision:0.jpg,27
PathID:8_FigureID:643_IsCollision:0.jpg,8
PathID:21_FigureID:839_IsCollision:0.jpg,21
PathID:36_FigureID:715_IsCollision:0.jpg,36
PathID:24_FigureID:860_IsCollision:0.jpg,24
PathID:15_FigureID:801_IsCollision:0.jpg,15
PathID:38_FigureID:509_IsCollision:0.jpg,38
PathID:8_FigureID:376_IsCollision:0.jpg,8
PathID:31_FigureID:90_IsCollision:0.jpg,31
PathID:26_FigureID:145_IsCollision:0.jpg,26
PathID:6_FigureID:618_IsCollision:0.jpg,6
PathID:32_FigureID:83_IsCollision:0.jpg,32
PathID:0_FigureID:873_IsCollision:0.jpg,0
PathID:11_FigureID:394_IsCollision:0.jpg,11
PathID:25_FigureID:605_IsCollision:0.jpg,25
PathID:5_FigureID:693_IsCollision:0.jpg,5
PathID:14_FigureID:606_IsCollision:0.jpg,14
PathID:22_FigureID:745_IsCollision:0.jpg,22
PathID:22_FigureID:444_IsCollision:0.jpg,22
PathID:25_FigureID:288_IsCollision:0.jpg,25
PathID:39_FigureID:85_IsCollision:0.jpg,39
PathID:12_FigureID:358_IsCollision:0.jpg,12
PathID:30_FigureID:999_IsCollision:0.jpg,30
PathID:33_FigureID:863_IsCollision:0.jpg,33
PathID:25_FigureID:686_IsCollision:0.jpg,25
PathID:33_FigureID:841_IsCollision:0.jpg,33
PathID:15_FigureID:594_IsCollision:0.jpg,15
PathID:11_FigureID:990_IsCollision:0.jpg,11
PathID:25_FigureID:45_IsCollision:0.jpg,25
PathID:10_FigureID:728_IsCollision:0.jpg,10
PathID:16_FigureID:222_IsCollision:0.jpg,16
PathID:17_FigureID:987_IsCollision:0.jpg,17
PathID:17_FigureID:484_IsCollision:0.jpg,17
PathID:15_FigureID:305_IsCollision:0.jpg,15
PathID:27_FigureID:641_IsCollision:0.jpg,27
PathID:32_FigureID:762_IsCollision:0.jpg,32
PathID:2_FigureID:448_IsCollision:0.jpg,2
PathID:2_FigureID:325_IsCollision:0.jpg,2
PathID:2_FigureID:869_IsCollision:0.jpg,2
PathID:26_FigureID:988_IsCollision:0.jpg,26
PathID:31_FigureID:536_IsCollision:0.jpg,31
PathID:0_FigureID:479_IsCollision:0.jpg,0
PathID:32_FigureID:517_IsCollision:0.jpg,32
PathID:39_FigureID:874_IsCollision:0.jpg,39
PathID:21_FigureID:601_IsCollision:0.jpg,21
PathID:35_FigureID:978_IsCollision:0.jpg,35
PathID:36_FigureID:359_IsCollision:0.jpg,36
PathID:4_FigureID:819_IsCollision:0.jpg,4
PathID:6_FigureID:46_IsCollision:0.jpg,6
PathID:27_FigureID:65_IsCollision:0.jpg,27
PathID:15_FigureID:75_IsCollision:0.jpg,15
PathID:28_FigureID:453_IsCollision:0.jpg,28
PathID:11_FigureID:385_IsCollision:0.jpg,11
PathID:3_FigureID:504_IsCollision:0.jpg,3
PathID:26_FigureID:142_IsCollision:0.jpg,26
PathID:23_FigureID:410_IsCollision:0.jpg,23
PathID:15_FigureID:8_IsCollision:0.jpg,15
PathID:31_FigureID:524_IsCollision:0.jpg,31
PathID:35_FigureID:139_IsCollision:0.jpg,35
PathID:14_FigureID:438_IsCollision:0.jpg,14
PathID:18_FigureID:522_IsCollision:0.jpg,18
PathID:35_FigureID:742_IsCollision:0.jpg,35
PathID:23_FigureID:606_IsCollision:0.jpg,23
PathID:3_FigureID:18_IsCollision:0.jpg,3
PathID:18_FigureID:937_IsCollision:0.jpg,18
PathID:13_FigureID:929_IsCollision:0.jpg,13
PathID:22_FigureID:781_IsCollision:0.jpg,22
PathID:20_FigureID:61_IsCollision:0.jpg,20
PathID:22_FigureID:477_IsCollision:0.jpg,22
PathID:13_FigureID:757_IsCollision:0.jpg,13
PathID:11_FigureID:374_IsCollision:0.jpg,11
PathID:24_FigureID:235_IsCollision:0.jpg,24
PathID:26_FigureID:20_IsCollision:0.jpg,26
PathID:8_FigureID:919_IsCollision:0.jpg,8
PathID:5_FigureID:349_IsCollision:0.jpg,5
PathID:35_FigureID:814_IsCollision:0.jpg,35
PathID:31_FigureID:45_IsCollision:0.jpg,31
PathID:36_FigureID:339_IsCollision:0.jpg,36
PathID:7_FigureID:751_IsCollision:0.jpg,7
PathID:12_FigureID:379_IsCollision:0.jpg,12
PathID:30_FigureID:462_IsCollision:0.jpg,30
PathID:14_FigureID:780_IsCollision:0.jpg,14
PathID:8_FigureID:553_IsCollision:0.jpg,8
PathID:7_FigureID:205_IsCollision:0.jpg,7
PathID:39_FigureID:909_IsCollision:0.jpg,39
PathID:31_FigureID:594_IsCollision:0.jpg,31
PathID:34_FigureID:761_IsCollision:0.jpg,34
PathID:34_FigureID:264_IsCollision:0.jpg,34
